id,wave,status,title,area,recommended_role,depends_on,allowed_paths,reviewer,owner,branch
GOV-001,0,READY,初始化 monorepo 与开发环境,governance,Integration AI,,package.json;pnpm-workspace.yaml;tsconfig.base.json;.env.example;docker-compose.yml;README.md,Integration Lead,,task/gov-001-governance
GOV-002,0,READY,冻结 OpenAPI v1 基线,contract,Contract AI,,packages/contracts/openapi/**;packages/contracts/src/**;docs/03-architecture/02-API与契约规范.md,Domain + Web + API,,task/gov-002-contract
GOV-003,0,READY,冻结 Prisma MVP 数据模型,database,Schema AI,,infra/database/prisma/**;docs/02-domain/**,Domain + Security + API,,task/gov-003-database
GOV-004,0,READY,建立设计 token 与基础原语,design-system,Codex Design AI,,packages/ui/**;apps/web/app/assets/**;docs/04-design/**;design-lab/**,Design + Accessibility,,task/gov-004-design-system
GOV-005,0,BLOCKED,建立 CI 与仓库保护基线,devops,CI AI,GOV-001,.github/**;scripts/**;package.json,Integration Lead,,task/gov-005-devops
GOV-006,0,BLOCKED,安全与租户授权基线,security,Security AI,GOV-001;GOV-002;GOV-003,apps/api/src/common/**;apps/api/src/modules/auth/**;tests/security/**;docs/03-architecture/06-安全隐私与未成年人保护.md,Security + Domain,,task/gov-006-security
IDN-001,1,BLOCKED,身份登录与会话 API,identity-api,API AI,GOV-001;GOV-002;GOV-003;GOV-006,apps/api/src/modules/auth/**;apps/api/src/modules/identity/**;apps/api/test/auth/**,Security,,task/idn-001-identity-api
IDN-002,1,BLOCKED,登录与会话 Web,identity-web,Codex Web AI,GOV-002;GOV-004,apps/web/app/features/auth/**;apps/web/app/pages/login.vue;apps/web/app/middleware/**;apps/web/tests/auth/**,Design + Security,,task/idn-002-identity-web
ORG-001,1,BLOCKED,学校、成员、班级 API,organization-api,API AI,GOV-002;GOV-003;GOV-006,apps/api/src/modules/organizations/**;apps/api/src/modules/classes/**;apps/api/test/organizations/**,Domain + Security,,task/org-001-organization-api
CUR-001,1,BLOCKED,课程版本与发布 API,curriculum-api,API AI,GOV-002;GOV-003;GOV-006,apps/api/src/modules/curriculum/**;apps/api/src/modules/resources/**;apps/api/test/curriculum/**,Domain + Content,,task/cur-001-curriculum-api
CUR-002,1,BLOCKED,教研内容工作台 Web,curriculum-web,Codex Web AI,GOV-002;GOV-004,apps/web/app/features/curriculum-studio/**;apps/web/app/pages/studio/**;apps/web/tests/curriculum/**,Design + Product,,task/cur-002-curriculum-web
CLS-001,1,BLOCKED,教师班级工作区 Web,class-web,Codex Web AI,GOV-002;GOV-004,apps/web/app/features/classes/**;apps/web/app/pages/teacher/classes/**;apps/web/tests/classes/**,Design + Security,,task/cls-001-class-web
WEB-001,1,BLOCKED,统一应用壳与角色导航,web-shell,Codex Web AI,GOV-004,apps/web/app/layouts/**;apps/web/app/components/navigation/**;apps/web/app/app.vue;apps/web/app/assets/**,Design + Accessibility,,task/web-001-web-shell
MIG-001,1,READY,旧资产分类与脱敏导出,migration,Migration AI,,legacy/exports/**;legacy/review/**;legacy/reports/**;tools/migration/**,Privacy + Content,,task/mig-001-migration
ASN-001,2,BLOCKED,任务编排 API,assignment-api,API AI,ORG-001;CUR-001,apps/api/src/modules/assignments/**;apps/api/test/assignments/**,Domain + Security,,task/asn-001-assignment-api
ASN-002,2,BLOCKED,任务编排 Web,assignment-web,Codex Web AI,GOV-002;GOV-004;CLS-001,apps/web/app/features/assignment-builder/**;apps/web/app/pages/teacher/assignments/**;apps/web/tests/assignments/**,Product + Design,,task/asn-002-assignment-web
LRN-001,2,BLOCKED,今日任务与学习 API,learning-api,API AI,ASN-001,apps/api/src/modules/learning/**;apps/api/test/learning/**,Security + Domain,,task/lrn-001-learning-api
LRN-002,2,BLOCKED,学生今日页与学习播放器,learning-web,Codex Web AI,GOV-002;GOV-004;WEB-001,apps/web/app/features/today/**;apps/web/app/features/learning-player/**;apps/web/app/pages/student/**;apps/web/tests/learning/**,Design + Accessibility,,task/lrn-002-learning-web
QST-001,2,BLOCKED,练习题与作答,assessment,Full-stack AI,CUR-001;LRN-001,apps/api/src/modules/assessment/**;apps/web/app/features/exercises/**;apps/api/test/assessment/**;apps/web/tests/exercises/**,Domain + Accessibility,,task/qst-001-assessment
SUB-001,2,BLOCKED,提交与教师反馈 API,submission-api,API AI,LRN-001;QST-001,apps/api/src/modules/submissions/**;apps/api/src/modules/feedback/**;apps/api/test/submissions/**,Security + Domain,,task/sub-001-submission-api
SUB-002,2,BLOCKED,教师复核工作台 Web,submission-web,Codex Web AI,GOV-002;GOV-004;CLS-001,apps/web/app/features/submission-review/**;apps/web/app/pages/teacher/review/**;apps/web/tests/review/**,Teacher UX + Design,,task/sub-002-submission-web
OFF-001,2,BLOCKED,PWA 与最小本地存储,offline-web,Offline AI,GOV-001;WEB-001,apps/web/app/features/offline/**;apps/web/public/**;apps/web/nuxt.config.ts;apps/web/tests/offline/**,Offline + Security,,task/off-001-offline-web
DES-001,2,BLOCKED,首页与学生端品牌视觉资产,visual-assets,Codex Multimodal AI,GOV-004,design-lab/generated/**;design-lab/reviews/**;apps/web/public/art/**;apps/web/app/pages/index.vue,Design + Content,,task/des-001-visual-assets
DES-002,2,BLOCKED,自定义核心图标系统,icons,Codex Multimodal AI,GOV-004,packages/ui/src/icons/**;design-lab/generated/icons/**;design-lab/reviews/**,Design + Accessibility,,task/des-002-icons
OFF-002,3,BLOCKED,客户端 Outbox 与同步状态机,offline-web,Offline AI,OFF-001;LRN-002;SUB-001,apps/web/app/features/offline/**;apps/web/tests/offline/**;packages/domain/src/sync/**,Offline + Security,,task/off-002-offline-web
OFF-003,3,BLOCKED,服务端同步 API 与冲突处理,sync-api,API AI,GOV-003;SUB-001,apps/api/src/modules/sync/**;apps/api/test/sync/**;packages/domain/src/sync/**,Domain + Security,,task/off-003-sync-api
SPH-001,3,BLOCKED,录音采集与本地质检 Web,speech-web,Codex Web + Speech AI,GOV-004;LRN-002;OFF-001,apps/web/app/features/speech/**;apps/web/tests/speech/**,Design + Privacy,,task/sph-001-speech-web
SPH-002,3,BLOCKED,语音任务与供应商适配 Worker,speech-worker,Speech AI,GOV-002;GOV-003;SUB-001,apps/worker/src/speech/**;apps/api/src/modules/speech/**;apps/worker/test/speech/**,Speech + Security,,task/sph-002-speech-worker
