asset_id,task_id,purpose,brief,generator,model_version,prompt_file,reference_sources,created_at,human_editor,cultural_review,rights_review,accessibility,output_paths,status
frontend-ref-home-desktop-v21,FRONTEND-DIRECTIVE-V2.1,reference-only home composition,Mission-led desktop home reference; not runtime asset,OpenAI,image generation,prompts/image-generation/01-HOME-PAGE.md,legacy repository screenshots + project design direction,2026-07-10,,pending,self-generated/reference-only,not runtime; text must be HTML,source-materials/yuzan-frontend-direction-pack-v2.1/visual-reference/png/01-home-desktop.png,REFERENCE_ONLY
frontend-ref-home-mobile-v21,FRONTEND-DIRECTIVE-V2.1,reference-only mobile home,Mobile home composition; not runtime asset,OpenAI,image generation,prompts/image-generation/01-HOME-PAGE.md,legacy repository screenshots + project design direction,2026-07-10,,pending,self-generated/reference-only,not runtime; text must be HTML,source-materials/yuzan-frontend-direction-pack-v2.1/visual-reference/png/01-home-mobile.png,REFERENCE_ONLY
frontend-ref-teacher-studio-v21,FRONTEND-DIRECTIVE-V2.1,reference-only teacher studio,Three-pane teacher studio reference,OpenAI,image generation,prompts/image-generation/04-TEACHER-STUDIO.md,current project routes and legacy palette,2026-07-10,,pending,self-generated/reference-only,not runtime,source-materials/yuzan-frontend-direction-pack-v2.1/visual-reference/png/02-teacher-studio.png,REFERENCE_ONLY
frontend-ref-teacher-assignments-v21,FRONTEND-DIRECTIVE-V2.1,reference-only assignments,Teacher assignment list reference,OpenAI,image generation,prompts/image-generation/05-TEACHER-ASSIGNMENTS.md,current project routes and legacy palette,2026-07-10,,pending,self-generated/reference-only,not runtime,source-materials/yuzan-frontend-direction-pack-v2.1/visual-reference/png/03-teacher-assignments.png,REFERENCE_ONLY
frontend-ref-student-today-v21,FRONTEND-DIRECTIVE-V2.1,reference-only student today,Mobile-first student today reference,OpenAI,image generation,prompts/image-generation/07-STUDENT-TODAY.md,current project routes and legacy palette,2026-07-10,,pending,self-generated/reference-only,not runtime,source-materials/yuzan-frontend-direction-pack-v2.1/visual-reference/png/04-student-today-mobile.png,REFERENCE_ONLY
frontend-ref-assessment-reading-v21,FRONTEND-DIRECTIVE-V2.1,reference-only reading assessment,Reading assessment state-machine reference,OpenAI,image generation,prompts/image-generation/10-ASSESSMENT-READING.md,current assessment routes and project design direction,2026-07-10,,pending,self-generated/reference-only,not runtime,source-materials/yuzan-frontend-direction-pack-v2.1/visual-reference/png/05-assessment-reading.png,REFERENCE_ONLY
frontend-ref-assessment-report-v21,FRONTEND-DIRECTIVE-V2.1,reference-only assessment report,Assessment evidence and growth report reference,OpenAI,image generation,prompts/image-generation/12-ASSESSMENT-REPORT.md,current assessment/report routes,2026-07-10,,pending,self-generated/reference-only,not runtime,source-materials/yuzan-frontend-direction-pack-v2.1/visual-reference/png/06-assessment-report.png,REFERENCE_ONLY
frontend-ref-teacher-review-v21,FRONTEND-DIRECTIVE-V2.1,reference-only teacher review,Evidence and feedback three-pane reference,OpenAI,image generation,prompts/image-generation/06-TEACHER-REVIEW.md,current submission review routes,2026-07-10,,pending,self-generated/reference-only,not runtime,source-materials/yuzan-frontend-direction-pack-v2.1/visual-reference/png/07-teacher-review.png,REFERENCE_ONLY
frontend-ref-components-v21,FRONTEND-DIRECTIVE-V2.1,reference-only component board,Buttons and content object visual states,OpenAI,image generation,prompts/image-generation/15-BUTTON-SYSTEM.md,project UI requirements,2026-07-10,,pending,self-generated/reference-only,must be rebuilt as accessible HTML/CSS,source-materials/yuzan-frontend-direction-pack-v2.1/visual-reference/png/08-components-buttons.png,REFERENCE_ONLY
frontend-ref-motion-v21,FRONTEND-DIRECTIVE-V2.1,reference-only motion storyboard,Interaction state storyboard,OpenAI,image generation,prompts/image-generation/18-MOTION-STORYBOARD.md,project motion requirements,2026-07-10,,pending,self-generated/reference-only,reduced-motion required,source-materials/yuzan-frontend-direction-pack-v2.1/visual-reference/png/09-motion-storyboard.png,REFERENCE_ONLY
